EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
HENRY SCHEIN INC;1000228;WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047];2012;0.311;;388076000;;604188000;;211466000;31175000;36216000;388076000;;-17979000;7058000;;21665000;618961000;;;;;454563000;;187858000;;;418347000;35312000;423388000;;604188000;;;;
CORE LABORATORIES N V;1000229;OIL, GAS FIELD SERVICES, NBC [1389];2012;;;216071000;;288460000;;72115000;;;216071000;;-864000;;2220000;2895000;;;;;;209938000;981080000;71848000;917000;;209397000;541000;216612000;;288460000;;;;
OPTICAL CABLE CORP;1000230;DRAWING AND INSULATING NONFERROUS WIRE [3357];2013;;;;;;;93605;;;;;;;;;;;;;;;;;;;;;;;;;;;
KENTUCKY BANCSHARES INC /KY/;1000232;STATE COMMERCIAL BANKS [6022];2012;0.19;;7007562;;8651235;;;;;;;;;;;;;;;;7521075;28232911;1643673;;;7521075;;7007562;;8651235;;;;
IMPAC MORTGAGE HOLDINGS INC;1000298;REAL ESTATE INVESTMENT TRUSTS [6798];2012;;;-3375000;;14289000;;5001000;;;-3375000;;;;;955000;;;;;-15549000;;478647000;1244000;;;;871000;-2504000;;14289000;;;;
SCHWEITZER MAUDUIT INTERTIOL INC;1000623;PAPER MILLS [2621];2012;0.394;;78700000;;131600000;;46100000;9100000;;79800000;;-4100000;4000000;;;133400000;;250900000;;-3900000;88900000;;51900000;;87400000;88900000;;79800000;;131600000;;;;537200000
NOVAVAX INC;1000694;BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES) [2836];2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WATERS CORP /DE/;1000697;LABORATORY ALYTICAL INSTRUMENTS [3826];2012;0.054;;;;487625000;;170669000;;;;;-108893000;;;3639000;511490000;;1106027000;;;471103000;1843641000;26182000;;;;;461443000;;487625000;;;;235954000
INSPERITY  INC.;1000753;SERVICES-HELP SUPPLY SERVICES [7363];2012;;;40402000;;68290000;;23901000;;;40402000;;;;;2497000;67494000;;382221000;;;40394000;;27888000;1663000;314727000;;;40402000;;68290000;;;;
WALT DISNEY CO/;1001039;CABLE & OTHER PAY TELEVISION SERVICES [4841];2013;0.31;;;;;;;2110000000;;;;;688000000;;;;;;;;;;;;;;500000000;;;;;;;
DISH Network CORP;1001082;CABLE & OTHER PAY TELEVISION SERVICES [4841];2012;0.329;;636687000;;;;;106760000;-10947000;;;;;;;1221835000;;;;;732500000;;307029000;;;743447000;-10947000;625740000;;;;;;1687327000
BROADWAY FINCIAL CORP \\DE\\;1001171;SAVINGS INSTITUTION, FEDERALLY CHARTERED [6035];2012;;167000;-693000;;1417000;;482000;;;588000;;;;;104000;;;;1281000;;335000;19891000;829000;;;335000;;588000;;1417000;;;;
ESTEE LAUDER COMPANIES INC;1001250;PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS [2844];2013;0.306;;1019800000;;1475200000;;;56300000;4900000;1019800000;;;;;;1526000000;;;;;1080100000;;451400000;;;1075200000;4000000;1023800000;;1475200000;;;;2025900000
TENGASCO INC;1001614;CRUDE PETROLEUM & TURAL GAS [1311];2012;;;;;6557000;;274000;;;-67000;;;;;43000;7359000;;;;-4311000;;20557000;87000;;13198000;;;-67000;;6557000;;;;
SOUTHERN COPPER CORP/;1001838;METAL MINING [1000];2012;0.363;;1934632000;;;;;;6736000;;;;;;;;;;;;1932526000;;1080872000;;;1925790000;6740000;1941372000;;;;;;
