EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
HENRY SCHEIN INC;1000228;WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES [5047];2012;0.311;;388076000;;604188000;;211466000;31175000;36216000;388076000;;-17979000;7058000;;21665000;618961000;;;;;454563000;;187858000;;;418347000;35312000;423388000;;604188000;;;;
KENTUCKY BANCSHARES INC /KY/;1000232;STATE COMMERCIAL BANKS [6022];2012;0.19;;7007562;;8651235;;;;;;;;;;;;;;;;7521075;28232911;1643673;;;7521075;;7007562;;8651235;;;;
SCHWEITZER MAUDUIT INTERTIOL INC;1000623;PAPER MILLS [2621];2012;0.394;;78700000;;131600000;;46100000;9100000;;79800000;;-4100000;4000000;;;133400000;;250900000;;-3900000;88900000;;51900000;;87400000;88900000;;79800000;;131600000;;;;537200000
WATERS CORP /DE/;1000697;LABORATORY ALYTICAL INSTRUMENTS [3826];2012;0.054;;;;487625000;;170669000;;;;;-108893000;;;3639000;511490000;;1106027000;;;471103000;1843641000;26182000;;;;;461443000;;487625000;;;;235954000
WALT DISNEY CO/;1001039;CABLE & OTHER PAY TELEVISION SERVICES [4841];2013;0.31;;;;;;;2110000000;;;;;688000000;;;;;;;;;;;;;;500000000;;;;;;;
DISH Network CORP;1001082;CABLE & OTHER PAY TELEVISION SERVICES [4841];2012;0.329;;636687000;;;;;106760000;-10947000;;;;;;;1221835000;;;;;732500000;;307029000;;;743447000;-10947000;625740000;;;;;;1687327000
ESTEE LAUDER COMPANIES INC;1001250;PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS [2844];2013;0.306;;1019800000;;1475200000;;;56300000;4900000;1019800000;;;;;;1526000000;;;;;1080100000;;451400000;;;1075200000;4000000;1023800000;;1475200000;;;;2025900000
SOUTHERN COPPER CORP/;1001838;METAL MINING [1000];2012;0.363;;1934632000;;;;;;6736000;;;;;;;;;;;;1932526000;;1080872000;;;1925790000;6740000;1941372000;;;;;;
INTEVAC INC;1001902;SPECIAL INDUSTRY MACHINERY, NEC [3559];2012;-0.315;;-55319000;;-42079000;;-14728000;355000;;-55319000;;-428000;;367000;-15000;-42533000;;34158000;;;-54964000;83424000;13240000;;78898000;-54964000;;-55319000;;-42079000;;;;37932000
Nuance Communications  Inc.;1002517;SERVICES-PREPACKAGED SOFTWARE [7372];2013;-0.192;;-115238000;;-96680000;;-33838000;;;-115238000;;1086000;;;-3900000;48482000;;1088729000;;;-101395000;1957630000;18558000;1723000;1040247000;-101395000;;-115238000;;-96680000;;;;766550000
MSC INDUSTRIAL DIRECT CO INC;1003078;WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT [5084];2013;0.379;;236214000;;383429000;;;;;237995000;;;;;;385526000;;1118516000;;;236011000;;145434000;;732990000;236011000;;237995000;;383429000;;;;1339133000
HEADWATERS INC;1003344;CONCRETE PRODUCTS, EXCEPT BLOCK & BRICK [3272];2013;0.32;;;;12209000;;4273000;;;7137000;;;0;;1934000;54411000;;192482000;;-55000;;702576000;3924000;;138071000;;;7137000;;;;;;510094000
