EntityRegistrantme;EntityCentralIndexKey;standardIndustrialClassification;DocumentFiscalYearFocus;ETR;Tax_Credit_Total;NetIncomeAvailableToCommonStockholdersBasic;NonoperatingIncomeLossPlusInterestAndDebtExpense;IncomeFromContinuingOperationsBeforeTax;Tax_Settlement_Total;Federal_Income;OtherComprehensiveIncome;ComprehensiveIncomeAttributableToNoncontrollingInterest;NetIncomeAttributableToParent;CostsAndExpenses;Foreign_Income;IncomeFromEquityMethodInvestments;Other_Reconciling_Total;State_Local_Income;OperatingIncomeLoss;OtherOperatingIncome;GrossProfit;PreferredStockDividendsAndOtherAdjustments;IncomeFromDiscontinuedOperations;ComprehensiveIncome;Revenues;IncomeTaxExpenseBenefit;NondeductibleExpense_Total;OperatingExpenses;ComprehensiveIncomeAttributableToParent;NetIncomeAttributableToNoncontrollingInterest;NetIncomeLoss;Tax_Contingency_Total;IncomeBeforeEquityMethodInvestments;Deduction_Total;ExtraordaryItemsGainLoss;IncomeFromContinuingOperationsAfterTax;CostOfRevenue
ACHILLION PHARMACEUTICALS INC;1070336;PHARMACEUTICAL PREPARATIONS [2834];2012;0;;-47127000;;;;;39000;;-47127000;;;;;;-47293000;;;;;-47088000;2607000;;;49900000;-47088000;;-47127000;;;;;;
ABBOTT LABORATORIES;1800;PHARMACEUTICAL PREPARATIONS [2834];2012;0.048;;;;;;;-996493000;;;;;;;;;;;;;;;299694000;;;;;;;;;;;
1ST SOURCE CORP;34782;STATE COMMERCIAL BANKS [6022];2012;0.344;;49633000;;75680000;;26488000;;;49633000;;;;;2010000;;;;;;50661000;182085000;26047000;;;50661000;;48950000;;75680000;;;;
ACHILLION PHARMACEUTICALS INC;1070336;PHARMACEUTICAL PREPARATIONS [2834];2013;0;;-58947000;;;;;-13000;;-58947000;;;;;;-59477000;;;;;-58960000;;;;59477000;-58960000;;-58947000;;;;;;
AbbVie Inc.;1551152;PHARMACEUTICAL PREPARATIONS [2834];2013;0.226;;;;;;;;;;;;;;;;;;;;;;1204000000;;;;;;;;;;;
ABBOTT LABORATORIES;1800;PHARMACEUTICAL PREPARATIONS [2834];2013;0.055;;;;;;;572000000;;;;;;;;;;;;193000000;;;138000000;;;;;;;;;;;
1ST SOURCE CORP;34782;STATE COMMERCIAL BANKS [6022];2013;0.345;;-54958000;;83943000;;29380000;;;54958000;;;;;1747000;;;;;;42000000;179585000;28985000;;;42000000;;-54236000;;83943000;;;;
ACHILLION PHARMACEUTICALS INC;1070336;PHARMACEUTICAL PREPARATIONS [2834];2014;0;;-436819000;;;;;;;-436819000;;;;;;;;;;;;;;;;;;-436819000;;;;;;
AbbVie Inc.;1551152;PHARMACEUTICAL PREPARATIONS [2834];2014;0.251;;1774000000;;;;;;;;;;;;;;;;;;185000000;;595000000;;;185000000;;1774000000;;;;;;
ABBOTT LABORATORIES;1800;PHARMACEUTICAL PREPARATIONS [2834];2014;0.316;;;;;;;;;;;;;;;;;;;563000000;-757000000;;797000000;;;;;;;;;;;
1ST SOURCE CORP;34782;STATE COMMERCIAL BANKS [6022];2014;0.312;;58069000;;84443000;;29555000;;;58069000;;;;;2300000;;;;;;60895000;178554000;26374000;;;60895000;;57340000;-3300000;84443000;;;;
ACHILLION PHARMACEUTICALS INC;1070336;PHARMACEUTICAL PREPARATIONS [2834];2015;0;;-441850000;;;;;;;-441850000;;;;;;;;;;;;;;;;;;-441850000;;;;;;
AbbVie Inc.;1551152;PHARMACEUTICAL PREPARATIONS [2834];2015;0.226;;;;;;;;;;;;;;;;;;;;;;1501000000;;;;;;;;;;;
ABBOTT LABORATORIES;1800;PHARMACEUTICAL PREPARATIONS [2834];2015;0.181;;;;;;;;;;;;;;;;;;;1817000000;;;577000000;;;;;;;;;;;
1ST SOURCE CORP;34782;STATE COMMERCIAL BANKS [6022];2015;0.351;;57486000;;88563000;;30997000;;;57486000;;;;;2215000;;;;;;54634000;184684000;31077000;;;54634000;;56918000;0;88563000;;;;
ACHILLION PHARMACEUTICALS INC;1070336;PHARMACEUTICAL PREPARATIONS [2834];2016;0;;-503557000;;;;;;;-503557000;;;;;;;;;;;;;;;;;;-503557000;;;;;;
AbbVie Inc.;1551152;PHARMACEUTICAL PREPARATIONS [2834];2016;0.245;;;;;;;;;;;;;;;;;;;;;;1931000000;;;;;;;;;;;
ABBOTT LABORATORIES;1800;PHARMACEUTICAL PREPARATIONS [2834];2016;0.248;;1393000000;;1413000000;;;;;1400000000;;;;;;;;;;337000000;795000000;;350000000;;;795000000;;1400000000;;;;;;
1ST SOURCE CORP;34782;STATE COMMERCIAL BANKS [6022];2016;0.352;;57786000;;89126000;;31194000;;;57786000;;;;;2165000;;;;;;52575000;191760000;31340000;;;52575000;;57377000;0;89126000;;;;
